query	grouping_confidence	location_confidence	orientation_confidence
scaffold_135	0.49063221452672706	0.002256064436352382	0.8890598135915302
scaffold_1305	1.0	1.0	1.0
scaffold_256	0.8631759166785561	0.015768628092866534	1.0
scaffold_258	0.5678179528692211	0.0015804298078124252	0.9421827974021859
scaffold_358	0.7094017094017094	0.00013195992052424202	0.9036144578313253
scaffold_1289	1.0	1.0	1.0
scaffold_460	1.0	1.0	1.0
scaffold_986	1.0	1.0	1.0
scaffold_97	0.7771069888633898	0.060372109647586734	0.5971190976399328
scaffold_51	0.4460870541562184	0.04156724242426507	0.5582503326022078
scaffold_99	0.5634448600865186	0.028408949618880432	0.7381146568598375
scaffold_29	0.9314470888823035	0.21816485996696006	1.0
scaffold_1506	1.0	1.0	1.0
scaffold_886	1.0	0.000444307921845688	0.5185185185185185
scaffold_530	0.8989169675090253	0.0002642883545157619	0.9337349397590361
scaffold_345	0.7646699266503667	1.0	1.0
scaffold_19	0.3407141087770346	1.0	1.0
scaffold_121	0.9987548422800221	0.06337960158383157	0.5176255894770443
scaffold_573	0.689922480620155	1.0	1.0
scaffold_1655	1.0	1.0	1.0
scaffold_15	0.7124399878070465	0.12068430425786089	0.8848390849166343
scaffold_1152	1.0	1.0	1.0
scaffold_1	0.31181432694211086	0.2501027168788554	0.7368242264941082
scaffold_43	0.4285040694356849	0.7223485097787071	0.5261951653712179
scaffold_82	1.0	0.999912487291353	1.0
scaffold_87	0.8413314530654417	0.0660843148867101	1.0
scaffold_142	0.9199805260050342	0.019870548568897202	0.9686761096223568
scaffold_591	1.0	1.0	1.0
scaffold_463	1.0	1.0	1.0
scaffold_1586	1.0	1.0	1.0
scaffold_91	0.43845769549104846	1.0	1.0
scaffold_126	0.7169886977619802	0.19525814601282632	1.0
scaffold_198	0.9703037557014849	0.022887206398803563	1.0
scaffold_23	0.9478604283926189	0.7467718998615017	1.0
scaffold_74	0.658212388299713	0.22122900004593626	0.6783593694776278
scaffold_625	0.5221238938053098	1.0	1.0
scaffold_508	1.0	1.0	1.0
scaffold_1566	1.0	1.0	1.0
scaffold_557	0.5116279069767442	1.0	1.0
scaffold_311	0.4544235924932976	1.0	1.0
scaffold_537	1.0	0.00015619374882140386	0.8609756097560975
scaffold_1043	0.6347826086956522	1.0	1.0
scaffold_304	0.5559226050023596	1.0	1.0
scaffold_976	1.0	1.0	1.0
scaffold_763	1.0	1.0	1.0
scaffold_1615	1.0	1.0	1.0
scaffold_1076	0.5714285714285714	1.0	1.0
scaffold_1591	1.0	1.0	1.0
scaffold_1302	1.0	1.0	1.0
scaffold_295	0.6007751937984496	0.0006275058061155502	0.6408602150537634
scaffold_1598	1.0	1.0	1.0
scaffold_502	0.5517241379310345	1.0	1.0
scaffold_1151	1.0	1.0	1.0
scaffold_95	0.6437125857061534	0.07425786679393352	0.5414793785979024
scaffold_199	0.9782067472487822	0.04876526443972379	0.998126221828778
scaffold_100	1.0	1.0	1.0
scaffold_42	0.6247043520929665	0.05012904241941411	1.0
scaffold_49	0.39565793304818186	0.07738501531578428	0.8494247512437811
scaffold_75	0.5904859868964434	1.0	1.0
scaffold_137	0.9718724642547357	0.9081787399824816	1.0
scaffold_143	0.5092707045735476	0.017576804663679665	1.0
scaffold_1656	1.0	1.0	1.0
scaffold_190	0.49646486964206804	1.0	1.0
scaffold_204	0.993551724137931	1.0	1.0
scaffold_630	0.9142656359803233	1.0	1.0
scaffold_84	0.6652330097761967	0.043000441946865774	0.9928035011123761
scaffold_36	0.9999233854903409	0.9631025804346813	0.9999758040905604
scaffold_757	1.0	1.0	1.0
scaffold_940	1.0	1.0	1.0
scaffold_322	0.66785290628707	1.0	1.0
scaffold_355	0.6160092807424594	1.0	1.0
scaffold_612	1.0	1.0	1.0
scaffold_1398	1.0	1.0	1.0
scaffold_447	0.7161290322580646	1.0	1.0
