query	grouping_confidence	location_confidence	orientation_confidence
scaffold_41	1.0	0.9977050150227113	0.9990437813023412
scaffold_892	1.0	1.0	1.0
scaffold_115	1.0	1.0	1.0
scaffold_761	1.0	1.0	1.0
scaffold_658	1.0	1.0	1.0
scaffold_1029	1.0	1.0	1.0
scaffold_1499	1.0	1.0	1.0
scaffold_709	1.0	1.0	1.0
scaffold_111	1.0	1.0	1.0
scaffold_191	1.0	0.9752864462040056	0.8197847120738894
scaffold_141	1.0	1.0	1.0
scaffold_182	1.0	0.009247725217416803	1.0
scaffold_1014	1.0	1.0	1.0
scaffold_255	0.9448964052418547	1.0	1.0
scaffold_304	0.5354239256678281	1.0	1.0
scaffold_318	1.0	1.0	1.0
scaffold_399	1.0	1.0	1.0
scaffold_74	0.9849509521575046	0.5321925956188943	0.9212862613344893
scaffold_379	1.0	1.0	1.0
scaffold_296	0.6172177167810355	1.0	1.0
scaffold_361	1.0	1.0	1.0
scaffold_232	1.0	0.9101455776210089	0.8148629277907186
scaffold_167	0.9017031243796896	0.10805372001084676	1.0
scaffold_121	0.966530174605082	0.36548312061893684	1.0
scaffold_94	1.0	1.0	1.0
scaffold_679	1.0	1.0	1.0
scaffold_143	1.0	1.0	1.0
scaffold_509	1.0	1.0	1.0
scaffold_986	1.0	1.0	1.0
scaffold_717	0.8203477141017386	1.0	1.0
scaffold_726	1.0	1.0	1.0
scaffold_29	0.995452774538913	0.998579907203673	0.9982485715838149
scaffold_580	1.0	1.0	1.0
scaffold_663	1.0	1.0	1.0
scaffold_82	0.9978982824374356	1.0	1.0
scaffold_23	1.0	0.9799235877540683	1.0
scaffold_857	1.0	1.0	1.0
scaffold_100	1.0	1.0	1.0
scaffold_137	1.0	1.0	1.0
scaffold_263	0.9200552208835341	1.0	1.0
scaffold_423	1.0	1.0	1.0
scaffold_187	0.9942086456646863	1.0	1.0
scaffold_160	1.0	1.0	1.0
scaffold_322	1.0	1.0	1.0
scaffold_869	1.0	1.0	1.0
scaffold_310	1.0	1.0	1.0
scaffold_355	0.9298412509661692	1.0	1.0
scaffold_85	0.7258686842559062	0.5600496942341051	0.9299469925314408
scaffold_202	0.8843010115232132	1.0	1.0
scaffold_482	1.0	1.0	1.0
scaffold_638	1.0	1.0	1.0
scaffold_242	1.0	1.0	1.0
scaffold_345	0.9472953025961622	1.0	1.0
scaffold_59	1.0	1.0	1.0
scaffold_272	1.0	1.0	1.0
scaffold_261	1.0	1.0	1.0
scaffold_1571	1.0	1.0	1.0
scaffold_485	1.0	1.0	1.0
scaffold_476	1.0	1.0	1.0
scaffold_49	0.9979684588065685	0.7694777510421256	0.9844104685403819
scaffold_164	1.0	1.0	1.0
scaffold_199	1.0	1.0	1.0
scaffold_331	1.0	1.0	1.0
scaffold_384	1.0	0.01610527463401848	1.0
scaffold_77	1.0	0.10902080291174772	0.9924129139489013
scaffold_952	1.0	1.0	1.0
scaffold_1503	1.0	1.0	1.0
scaffold_684	1.0	1.0	1.0
scaffold_1592	1.0	1.0	1.0
scaffold_707	1.0	1.0	1.0
scaffold_1031	1.0	1.0	1.0
scaffold_15	0.9992156188934685	0.9972021096549792	1.0
scaffold_723	1.0	1.0	1.0
scaffold_6	0.627101237583399	0.994279411704033	1.0
scaffold_5	0.8749515477427424	0.9896432931319897	0.9910769276886071
scaffold_1302	1.0	1.0	1.0
scaffold_1254	1.0	1.0	1.0
scaffold_623	1.0	1.0	1.0
scaffold_1347	1.0	1.0	1.0
scaffold_289	1.0	1.0	1.0
scaffold_36	1.0	1.0	1.0
scaffold_206	1.0	1.0	1.0
