query	grouping_confidence	location_confidence	orientation_confidence
scaffold_130	0.941196201493761	0.09047656239363885	1.0
scaffold_186	0.36694560486810457	1.0	1.0
scaffold_161	0.870226902472282	1.0	1.0
scaffold_298	0.8872323730523484	1.0	1.0
scaffold_20	0.43171342960818093	0.32810503260941476	0.5673927462789525
scaffold_65	0.8528883444930825	1.0	1.0
scaffold_11	0.9997427610238111	0.48972904422135183	0.9929146655682018
scaffold_1	0.6834978623017187	0.42226034384168226	1.0
scaffold_152	0.5496124601680566	0.07431211771974516	1.0
scaffold_208	0.9474882830549871	0.04190405290008977	0.9993265289534492
scaffold_30	0.28333582200985513	0.037763854408847906	0.6481897233201581
scaffold_192	0.7031325651205578	0.036440045701132656	0.996189820393642
scaffold_41	0.7879303660989024	1.0	1.0
scaffold_251	0.7891157561464155	0.023086298456014294	1.0
scaffold_809	0.6305418719211823	1.0	1.0
scaffold_293	0.7694770544290288	1.0	1.0
scaffold_611	0.9181905678537055	1.0	1.0
scaffold_1112	1.0	1.0	1.0
scaffold_125	0.5102147577092511	0.10432711795703284	0.9988262910798122
scaffold_29	0.501904346934591	0.09268946805902271	0.7237556364676264
scaffold_928	0.5669014084507042	1.0	1.0
scaffold_826	1.0	1.0	1.0
scaffold_603	1.0	1.0	1.0
scaffold_502	0.8467896381413164	1.0	0.99644170323805
scaffold_310	0.7914382045431325	0.008119917190052324	0.987650071001334
scaffold_378	0.959306651575649	0.07029828658582007	0.9979134348576547
scaffold_133	1.0	1.0	1.0
scaffold_110	0.4463922944347337	1.0	1.0
scaffold_218	0.9991263707403873	0.09266950717608921	0.9924845103666551
scaffold_61	0.5485192047988443	1.0	1.0
scaffold_322	0.34487021013597036	0.0011490024133168969	0.6881720430107527
scaffold_277	0.8053588542221276	0.056870144701409414	0.9972481613089828
scaffold_103	0.8515598961361082	0.05935982762179236	0.7969216485837035
scaffold_48	0.49426819682439865	0.2473043850348141	1.0
scaffold_46	0.9161975316279501	0.3621693663511006	0.44683023995813603
scaffold_317	0.9488104684762917	1.0	1.0
scaffold_27	0.36316868606577474	1.0	1.0
scaffold_255	0.9168468681288728	1.0	1.0
scaffold_95	1.0	0.7115952346056406	1.0
scaffold_631	1.0	0.0002200679389226828	1.0
scaffold_615	1.0	1.0	1.0
scaffold_505	0.45808636748518206	0.00024428801783076757	0.8096118299445472
scaffold_1659	1.0	1.0	1.0
scaffold_155	0.8957041216370387	0.22264004695372258	0.6262515149409849
scaffold_83	0.4597147271102703	0.1321642340624836	0.7550877711758165
scaffold_54	0.6198007636990014	0.13223917881870378	0.9987017530221168
scaffold_150	0.7024792310601614	0.20563671000607014	0.5989467300361404
scaffold_86	0.7577056367980257	1.0	1.0
scaffold_34	0.6902085898501235	0.1996043952702841	0.6081662184883796
scaffold_151	0.7820943054683893	0.1578891706753171	0.9986537300960958
scaffold_19	0.6560106828866539	0.452811220827103	0.9998601938272779
scaffold_168	0.577652652749629	0.056089152647984454	0.8745916211048871
scaffold_285	0.6570128603331878	0.04219360071346794	0.9633818774968012
scaffold_229	0.9222199476366457	0.036300576269633796	0.8281888917447484
scaffold_50	0.5820133332956526	0.6887284778621078	0.9998494751051247
